id	dam	sire	birthyear	sex
W054_2003_F	NA	NA	2003	1
W055_2003_M	NA	NA	2003	2
W056_2003_M	NA	NA	2003	2
W057_2003_M	W011_2001_F	W018_2001_M	2003	2
W058_2003_M	NA	NA	2003	2
W059_2003_M	NA	NA	2003	2
W060_2003_F	NA	NA	2003	1
W061_2003_F	NA	NA	2003	1
W062_2003_M	NA	NA	2003	2
W063_2003_M	NA	NA	2003	2
W064_2003_F	W027_2002_F	W037_2002_M	2003	1
W065_2003_F	W047_2002_F	W026_2002_M	2003	1
W066_2003_M	NA	NA	2003	2
W067_2003_M	NA	NA	2003	2
W068_2003_M	W024_2001_F	W019_2001_M	2003	2
W069_2003_M	NA	NA	2003	2
W070_2003_F	W012_2001_F	W002_2001_M	2003	1
W071_2003_F	W009_2001_F	W017_2001_M	2003	1
W072_2003_F	NA	NA	2003	1
W073_2003_M	NA	NA	2003	2
W074_2003_M	NA	NA	2003	2
W075_2003_F	W024_2001_F	W019_2001_M	2003	1
W076_2004_F	NA	NA	2004	1
W077_2004_F	W060_2003_F	W073_2003_M	2004	1
W078_2004_F	W040_2002_F	W049_2002_M	2004	1
W079_2004_M	NA	NA	2004	2
W080_2004_M	NA	NA	2004	2
W081_2004_M	NA	NA	2004	2
W082_2004_M	NA	NA	2004	2
W083_2004_F	W009_2001_F	W017_2001_M	2004	1
W084_2004_M	NA	NA	2004	2
W085_2004_F	NA	NA	2004	1
W086_2004_F	W065_2003_F	W069_2003_M	2004	1
W087_2004_F	W016_2001_F	W003_2001_M	2004	1
W088_2004_F	W048_2002_F	W032_2002_M	2004	1
W089_2004_M	NA	NA	2004	2
W090_2004_F	W052_2003_F	W067_2003_M	2004	1
W091_2004_F	W040_2002_F	W049_2002_M	2004	1
W092_2004_F	NA	NA	2004	1
W093_2004_M	W001_2001_F	W008_2001_M	2004	2
W094_2004_M	W064_2003_F	W063_2003_M	2004	2
W095_2004_F	NA	NA	2004	1
W096_2004_M	NA	NA	2004	2
W097_2004_M	NA	NA	2004	2
W098_2004_M	W001_2001_F	W008_2001_M	2004	2
W099_2004_M	NA	NA	2004	2
W100_2004_F	NA	NA	2004	1
W101_2005_M	NA	NA	2005	2
W102_2005_M	W048_2002_F	W032_2002_M	2005	2
W103_2005_F	W036_2002_F	W028_2002_M	2005	1
W104_2005_M	NA	NA	2005	2
W105_2005_M	NA	NA	2005	2
W106_2005_M	NA	NA	2005	2
W107_2005_M	W095_2004_F	W084_2004_M	2005	2
W108_2005_F	NA	NA	2005	1
W109_2005_F	W009_2001_F	W017_2001_M	2005	1
W110_2005_F	W011_2001_F	W018_2001_M	2005	1
W111_2005_M	NA	NA	2005	2
W112_2005_M	W095_2004_F	W084_2004_M	2005	2
W113_2005_M	W052_2003_F	W067_2003_M	2005	2
W114_2005_M	NA	NA	2005	2
W115_2005_M	W025_2001_F	W023_2001_M	2005	2
W116_2005_M	W011_2001_F	W018_2001_M	2005	2
W117_2005_F	W041_2002_F	W043_2002_M	2005	1
W118_2005_F	W065_2003_F	W069_2003_M	2005	1
W119_2005_M	NA	NA	2005	2
W120_2005_M	NA	NA	2005	2
W121_2005_F	NA	NA	2005	1
W122_2005_F	W045_2002_F	W044_2002_M	2005	1
W123_2005_M	W030_2002_F	W034_2002_M	2005	2
W124_2005_F	NA	NA	2005	1
W125_2005_F	W009_2001_F	W017_2001_M	2005	1
W126_2006_F	W013_2001_F	W004_2001_M	2006	1
W127_2006_F	NA	NA	2006	1
W128_2006_F	W070_2003_F	W053_2003_M	2006	1
W129_2006_M	NA	NA	2006	2
W130_2006_M	NA	NA	2006	2
W131_2006_M	W108_2005_F	W112_2005_M	2006	2
W132_2006_M	NA	NA	2006	2
W133_2006_M	W039_2002_F	W035_2002_M	2006	2
W134_2006_F	W121_2005_F	W111_2005_M	2006	1
W135_2006_F	W075_2003_F	W057_2003_M	2006	1
W136_2006_M	W095_2004_F	W084_2004_M	2006	2
W137_2006_F	W125_2005_F	W105_2005_M	2006	1
W138_2006_F	W007_2001_F	W005_2001_M	2006	1
W139_2006_M	NA	NA	2006	2
W140_2006_M	W042_2002_F	W033_2002_M	2006	2
W141_2006_M	W090_2004_F	W089_2004_M	2006	2
W142_2006_F	W095_2004_F	W084_2004_M	2006	1
W143_2006_F	W072_2003_F	W066_2003_M	2006	1
W144_2006_M	W006_2001_F	W021_2001_M	2006	2
W145_2006_M	W011_2001_F	W018_2001_M	2006	2
W146_2006_M	W050_2002_F	W038_2002_M	2006	2
W147_2006_F	W065_2003_F	W069_2003_M	2006	1
W148_2006_M	W040_2002_F	W049_2002_M	2006	2
W149_2006_F	W036_2002_F	W028_2002_M	2006	1
W150_2006_M	W121_2005_F	W111_2005_M	2006	2
W151_2007_F	W013_2001_F	W004_2001_M	2007	1
W152_2007_M	W149_2006_F	W145_2006_M	2007	2
W153_2007_F	NA	NA	2007	1
W154_2007_F	NA	NA	2007	1
W155_2007_F	W091_2004_F	W094_2004_M	2007	1
W156_2007_M	W121_2005_F	W111_2005_M	2007	2
W157_2007_M	W142_2006_F	W141_2006_M	2007	2
W158_2007_M	W009_2001_F	W017_2001_M	2007	2
W159_2007_M	NA	NA	2007	2
W160_2007_M	W007_2001_F	W005_2001_M	2007	2
W161_2007_M	W087_2004_F	W081_2004_M	2007	2
W162_2007_M	W036_2002_F	W028_2002_M	2007	2
W163_2007_M	W027_2002_F	W037_2002_M	2007	2
W164_2007_M	W086_2004_F	W098_2004_M	2007	2
W165_2007_M	W100_2004_F	W099_2004_M	2007	2
W166_2007_M	W092_2004_F	W093_2004_M	2007	2
W167_2007_F	W077_2004_F	W082_2004_M	2007	1
W168_2007_F	NA	NA	2007	1
W169_2007_M	W091_2004_F	W094_2004_M	2007	2
W170_2007_M	W036_2002_F	W028_2002_M	2007	2
W171_2007_M	W137_2006_F	W130_2006_M	2007	2
W172_2007_F	W024_2001_F	W019_2001_M	2007	1
W173_2007_F	NA	NA	2007	1
W174_2007_M	W109_2005_F	W104_2005_M	2007	2
W175_2007_M	W086_2004_F	W098_2004_M	2007	2
W176_2008_F	W075_2003_F	W057_2003_M	2008	1
W177_2008_F	W090_2004_F	W089_2004_M	2008	1
W178_2008_F	W122_2005_F	W114_2005_M	2008	1
W179_2008_M	W070_2003_F	W053_2003_M	2008	2
W180_2008_F	W168_2007_F	W161_2007_M	2008	1
W181_2008_F	W147_2006_F	W131_2006_M	2008	1
W182_2008_M	W135_2006_F	W139_2006_M	2008	2
W183_2008_M	W025_2001_F	W023_2001_M	2008	2
W184_2008_M	W147_2006_F	W131_2006_M	2008	2
W185_2008_M	W086_2004_F	W098_2004_M	2008	2
W186_2008_M	W085_2004_F	W080_2004_M	2008	2
W187_2008_F	W040_2002_F	W049_2002_M	2008	1
W188_2008_F	W085_2004_F	W080_2004_M	2008	1
W189_2008_M	W172_2007_F	W175_2007_M	2008	2
W190_2008_F	W047_2002_F	W026_2002_M	2008	1
W191_2008_M	W091_2004_F	W094_2004_M	2008	2
W192_2008_F	W092_2004_F	W093_2004_M	2008	1
W193_2008_M	W151_2007_F	W166_2007_M	2008	2
W194_2008_F	W173_2007_F	W171_2007_M	2008	1
W195_2008_F	W065_2003_F	W069_2003_M	2008	1
W196_2008_M	W072_2003_F	W066_2003_M	2008	2
W197_2008_F	W151_2007_F	W166_2007_M	2008	1
W198_2008_M	W103_2005_F	W107_2005_M	2008	2
W199_2008_M	W103_2005_F	W107_2005_M	2008	2
W200_2008_F	W142_2006_F	W141_2006_M	2008	1
W201_2009_F	W070_2003_F	W053_2003_M	2009	1
W202_2009_M	W064_2003_F	W063_2003_M	2009	2
W203_2009_M	W052_2003_F	W067_2003_M	2009	2
W204_2009_F	W109_2005_F	W104_2005_M	2009	1
W205_2009_F	W039_2002_F	W035_2002_M	2009	1
W206_2009_M	W031_2002_F	W501_XXXX_M	2009	2
W207_2009_F	W126_2006_F	W148_2006_M	2009	1
W208_2009_M	W054_2003_F	W058_2003_M	2009	2
W209_2009_F	W109_2005_F	W104_2005_M	2009	1
W210_2009_M	W090_2004_F	W089_2004_M	2009	2
W211_2009_M	W142_2006_F	W141_2006_M	2009	2
W212_2009_F	W154_2007_F	W170_2007_M	2009	1
W213_2009_F	W092_2004_F	W093_2004_M	2009	1
W214_2009_M	W181_2008_F	W186_2008_M	2009	2
W215_2009_M	W173_2007_F	W171_2007_M	2009	2
W216_2009_F	W172_2007_F	W175_2007_M	2009	1
W217_2009_F	W177_2008_F	W183_2008_M	2009	1
W218_2009_F	W086_2004_F	W098_2004_M	2009	1
W219_2009_F	W070_2003_F	W053_2003_M	2009	1
W220_2009_M	W151_2007_F	W166_2007_M	2009	2
W221_2009_M	W054_2003_F	W058_2003_M	2009	2
W222_2009_F	W154_2007_F	W170_2007_M	2009	1
W223_2009_M	W046_2002_F	W502_XXXX_M	2009	2
W224_2009_M	W134_2006_F	W129_2006_M	2009	2
W225_2009_F	W042_2002_F	W033_2002_M	2009	1
W226_2010_M	W137_2006_F	W130_2006_M	2010	2
W227_2010_M	W091_2004_F	W094_2004_M	2010	2
W228_2010_M	W117_2005_F	W101_2005_M	2010	2
W229_2010_F	W194_2008_F	W184_2008_M	2010	1
W230_2010_F	W095_2004_F	W084_2004_M	2010	1
W231_2010_M	W190_2008_F	W191_2008_M	2010	2
W232_2010_M	W153_2007_F	W156_2007_M	2010	2
W233_2010_F	W154_2007_F	W170_2007_M	2010	1
W234_2010_M	W095_2004_F	W084_2004_M	2010	2
W235_2010_F	W124_2005_F	W113_2005_M	2010	1
W236_2010_M	W076_2004_F	W079_2004_M	2010	2
W237_2010_M	W178_2008_F	W196_2008_M	2010	2
W238_2010_F	W100_2004_F	W099_2004_M	2010	1
W239_2010_M	W110_2005_F	W115_2005_M	2010	2
W240_2010_M	W092_2004_F	W093_2004_M	2010	2
W241_2010_M	W092_2004_F	W093_2004_M	2010	2
W242_2010_M	W207_2009_F	W223_2009_M	2010	2
W243_2010_F	W153_2007_F	W156_2007_M	2010	1
W244_2010_F	W216_2009_F	W224_2009_M	2010	1
W245_2010_F	W090_2004_F	W089_2004_M	2010	1
W246_2010_F	W103_2005_F	W107_2005_M	2010	1
W247_2010_F	W187_2008_F	W198_2008_M	2010	1
W248_2010_F	W168_2007_F	W161_2007_M	2010	1
W249_2010_M	W155_2007_F	W159_2007_M	2010	2
W250_2010_M	W200_2008_F	W185_2008_M	2010	2
W251_2011_M	W229_2010_F	W226_2010_M	2011	2
W252_2011_F	W126_2006_F	W148_2006_M	2011	1
W253_2011_M	W172_2007_F	W175_2007_M	2011	2
W254_2011_F	W137_2006_F	W130_2006_M	2011	1
W255_2011_F	W076_2004_F	W079_2004_M	2011	1
W256_2011_F	W095_2004_F	W084_2004_M	2011	1
W257_2011_F	W138_2006_F	W132_2006_M	2011	1
W258_2011_F	W091_2004_F	W094_2004_M	2011	1
W259_2011_M	W135_2006_F	W139_2006_M	2011	2
W260_2011_F	W200_2008_F	W185_2008_M	2011	1
W261_2011_F	W154_2007_F	W170_2007_M	2011	1
W262_2011_M	W177_2008_F	W183_2008_M	2011	2
W263_2011_M	W194_2008_F	W184_2008_M	2011	2
W264_2011_M	W138_2006_F	W132_2006_M	2011	2
W265_2011_M	W195_2008_F	W189_2008_M	2011	2
W266_2011_M	W173_2007_F	W171_2007_M	2011	2
W267_2011_F	W125_2005_F	W105_2005_M	2011	1
W268_2011_M	W173_2007_F	W171_2007_M	2011	2
W269_2011_M	W124_2005_F	W113_2005_M	2011	2
W270_2011_F	W194_2008_F	W184_2008_M	2011	1
W271_2011_F	W086_2004_F	W098_2004_M	2011	1
W272_2011_M	W143_2006_F	W140_2006_M	2011	2
W273_2011_F	W091_2004_F	W094_2004_M	2011	1
W274_2011_F	W125_2005_F	W105_2005_M	2011	1
W275_2011_M	W103_2005_F	W107_2005_M	2011	2
W276_2012_M	W271_2011_F	W268_2011_M	2012	2
W277_2012_F	W142_2006_F	W141_2006_M	2012	1
W278_2012_F	W126_2006_F	W148_2006_M	2012	1
W279_2012_F	W149_2006_F	W145_2006_M	2012	1
W280_2012_M	W172_2007_F	W175_2007_M	2012	2
W281_2012_F	W230_2010_F	W231_2010_M	2012	1
W282_2012_F	W246_2010_F	W242_2010_M	2012	1
W283_2012_F	W217_2009_F	W211_2009_M	2012	1
W284_2012_F	W212_2009_F	W202_2009_M	2012	1
W285_2012_F	W256_2011_F	W266_2011_M	2012	1
W286_2012_M	W121_2005_F	W111_2005_M	2012	2
W287_2012_F	W103_2005_F	W107_2005_M	2012	1
W288_2012_M	W180_2008_F	W179_2008_M	2012	2
W289_2012_M	W155_2007_F	W159_2007_M	2012	2
W290_2012_M	W188_2008_F	W182_2008_M	2012	2
W291_2012_M	W172_2007_F	W175_2007_M	2012	2
W292_2012_F	W261_2011_F	W272_2011_M	2012	1
W293_2012_M	W222_2009_F	W214_2009_M	2012	2
W294_2012_F	W273_2011_F	W275_2011_M	2012	1
W295_2012_F	W168_2007_F	W161_2007_M	2012	1
W296_2012_F	W151_2007_F	W166_2007_M	2012	1
W297_2012_F	W128_2006_F	W146_2006_M	2012	1
W298_2012_M	W177_2008_F	W183_2008_M	2012	2
W299_2012_F	W172_2007_F	W175_2007_M	2012	1
W300_2012_M	W209_2009_F	W208_2009_M	2012	2
W301_2013_F	W147_2006_F	W131_2006_M	2013	1
W302_2013_F	W252_2011_F	W265_2011_M	2013	1
W303_2013_M	W135_2006_F	W139_2006_M	2013	2
W304_2013_M	W255_2011_F	W262_2011_M	2013	2
W305_2013_F	W176_2008_F	W199_2008_M	2013	1
W306_2013_F	W282_2012_F	W293_2012_M	2013	1
W307_2013_F	W177_2008_F	W183_2008_M	2013	1
W308_2013_F	W143_2006_F	W140_2006_M	2013	1
W309_2013_F	W219_2009_F	W203_2009_M	2013	1
W310_2013_F	W177_2008_F	W183_2008_M	2013	1
W311_2013_M	W155_2007_F	W159_2007_M	2013	2
W312_2013_F	W261_2011_F	W272_2011_M	2013	1
W313_2013_M	W167_2007_F	W152_2007_M	2013	2
W314_2013_M	W134_2006_F	W129_2006_M	2013	2
W315_2013_F	W279_2012_F	W286_2012_M	2013	1
W316_2013_F	W281_2012_F	W276_2012_M	2013	1
W317_2013_F	W247_2010_F	W241_2010_M	2013	1
W318_2013_M	W230_2010_F	W231_2010_M	2013	2
W319_2013_F	W257_2011_F	W253_2011_M	2013	1
W320_2013_M	W267_2011_F	W264_2011_M	2013	2
W321_2013_M	W197_2008_F	W193_2008_M	2013	2
W322_2013_F	W135_2006_F	W139_2006_M	2013	1
W323_2013_M	W143_2006_F	W140_2006_M	2013	2
W324_2013_F	W235_2010_F	W232_2010_M	2013	1
W325_2013_F	W212_2009_F	W202_2009_M	2013	1
W326_2014_M	W308_2013_F	W318_2013_M	2014	2
W327_2014_M	W248_2010_F	W240_2010_M	2014	2
W328_2014_F	W181_2008_F	W186_2008_M	2014	1
W329_2014_F	W225_2009_F	W221_2009_M	2014	1
W330_2014_F	W270_2011_F	W259_2011_M	2014	1
W331_2014_F	W247_2010_F	W241_2010_M	2014	1
W332_2014_M	W248_2010_F	W240_2010_M	2014	2
W333_2014_M	W209_2009_F	W208_2009_M	2014	2
W334_2014_F	W316_2013_F	W314_2013_M	2014	1
W335_2014_F	W154_2007_F	W170_2007_M	2014	1
W336_2014_F	W167_2007_F	W152_2007_M	2014	1
W337_2014_F	W302_2013_F	W321_2013_M	2014	1
W338_2014_F	W256_2011_F	W266_2011_M	2014	1
W339_2014_F	W261_2011_F	W272_2011_M	2014	1
W340_2014_F	W213_2009_F	W210_2009_M	2014	1
W341_2014_M	W201_2009_F	W206_2009_M	2014	2
W342_2014_M	W190_2008_F	W191_2008_M	2014	2
W343_2014_M	W207_2009_F	W223_2009_M	2014	2
W344_2014_F	W294_2012_F	W291_2012_M	2014	1
W345_2014_F	W295_2012_F	W300_2012_M	2014	1
W346_2014_F	W282_2012_F	W293_2012_M	2014	1
W347_2014_F	W246_2010_F	W242_2010_M	2014	1
W348_2014_M	W248_2010_F	W240_2010_M	2014	2
W349_2014_M	W225_2009_F	W221_2009_M	2014	2
W350_2014_M	W153_2007_F	W156_2007_M	2014	2
W351_2015_F	W296_2012_F	W289_2012_M	2015	1
W352_2015_F	W248_2010_F	W240_2010_M	2015	1
W353_2015_M	W336_2014_F	W326_2014_M	2015	2
W354_2015_F	W195_2008_F	W189_2008_M	2015	1
W355_2015_M	W190_2008_F	W191_2008_M	2015	2
W356_2015_F	W297_2012_F	W298_2012_M	2015	1
W357_2015_F	W209_2009_F	W208_2009_M	2015	1
W358_2015_M	W222_2009_F	W214_2009_M	2015	2
W359_2015_M	W247_2010_F	W241_2010_M	2015	2
W360_2015_F	W176_2008_F	W199_2008_M	2015	1
W361_2015_M	W346_2014_F	W333_2014_M	2015	2
W362_2015_F	W299_2012_F	W280_2012_M	2015	1
W363_2015_F	W255_2011_F	W262_2011_M	2015	1
W364_2015_M	W235_2010_F	W232_2010_M	2015	2
W365_2015_M	W233_2010_F	W250_2010_M	2015	2
W366_2015_M	W213_2009_F	W210_2009_M	2015	2
W367_2015_M	W308_2013_F	W318_2013_M	2015	2
W368_2015_M	W200_2008_F	W185_2008_M	2015	2
W369_2015_F	W297_2012_F	W298_2012_M	2015	1
W370_2015_M	W347_2014_F	W342_2014_M	2015	2
W371_2015_F	W345_2014_F	W327_2014_M	2015	1
W372_2015_M	W238_2010_F	W239_2010_M	2015	2
W373_2015_F	W322_2013_F	W303_2013_M	2015	1
W374_2015_M	W340_2014_F	W348_2014_M	2015	2
W375_2015_M	W248_2010_F	W240_2010_M	2015	2
W376_2016_F	W246_2010_F	W242_2010_M	2016	1
W377_2016_M	W329_2014_F	W343_2014_M	2016	2
W378_2016_F	W277_2012_F	W288_2012_M	2016	1
W379_2016_F	W373_2015_F	W353_2015_M	2016	1
W380_2016_M	W315_2013_F	W304_2013_M	2016	2
W381_2016_F	W258_2011_F	W263_2011_M	2016	1
W382_2016_F	W292_2012_F	W290_2012_M	2016	1
W383_2016_M	W217_2009_F	W211_2009_M	2016	2
W384_2016_M	W334_2014_F	W350_2014_M	2016	2
W385_2016_M	W213_2009_F	W210_2009_M	2016	2
W386_2016_M	W369_2015_F	W364_2015_M	2016	2
W387_2016_M	W255_2011_F	W262_2011_M	2016	2
W388_2016_M	W337_2014_F	W349_2014_M	2016	2
W389_2016_M	W254_2011_F	W251_2011_M	2016	2
W390_2016_F	W302_2013_F	W321_2013_M	2016	1
W391_2016_M	W244_2010_F	W227_2010_M	2016	2
W392_2016_F	W352_2015_F	W366_2015_M	2016	1
W393_2016_F	W274_2011_F	W269_2011_M	2016	1
W394_2016_M	W257_2011_F	W253_2011_M	2016	2
W395_2016_M	W267_2011_F	W264_2011_M	2016	2
W396_2016_F	W371_2015_F	W368_2015_M	2016	1
W397_2016_M	W308_2013_F	W318_2013_M	2016	2
W398_2016_M	W248_2010_F	W240_2010_M	2016	2
W399_2016_F	W273_2011_F	W275_2011_M	2016	1
W400_2016_M	W230_2010_F	W231_2010_M	2016	2
W401_2017_F	W337_2014_F	W349_2014_M	2017	1
W402_2017_M	W294_2012_F	W291_2012_M	2017	2
W403_2017_M	W248_2010_F	W240_2010_M	2017	2
W404_2017_M	W379_2016_F	W388_2016_M	2017	2
W405_2017_M	W371_2015_F	W368_2015_M	2017	2
W406_2017_F	W396_2016_F	W389_2016_M	2017	1
W407_2017_M	W285_2012_F	W503_XXXX_M	2017	2
W408_2017_F	W352_2015_F	W366_2015_M	2017	1
W409_2017_F	W315_2013_F	W304_2013_M	2017	1
W410_2017_F	W261_2011_F	W272_2011_M	2017	1
W411_2017_M	W317_2013_F	W323_2013_M	2017	2
W412_2017_F	W282_2012_F	W293_2012_M	2017	1
W413_2017_F	W329_2014_F	W343_2014_M	2017	1
W414_2017_F	W233_2010_F	W250_2010_M	2017	1
W415_2017_M	W337_2014_F	W349_2014_M	2017	2
W416_2017_M	W330_2014_F	W332_2014_M	2017	2
W417_2017_F	W317_2013_F	W323_2013_M	2017	1
W418_2017_M	W378_2016_F	W387_2016_M	2017	2
W419_2017_M	W322_2013_F	W303_2013_M	2017	2
W420_2017_M	W340_2014_F	W348_2014_M	2017	2
W421_2017_M	W352_2015_F	W366_2015_M	2017	2
W422_2017_F	W260_2011_F	W504_XXXX_M	2017	1
W423_2017_M	W260_2011_F	W504_XXXX_M	2017	2
W424_2017_F	W274_2011_F	W269_2011_M	2017	1
W425_2017_M	W230_2010_F	W231_2010_M	2017	2
W426_2018_F	W354_2015_F	W370_2015_M	2018	1
W427_2018_M	W312_2013_F	W320_2013_M	2018	2
W428_2018_F	W335_2014_F	W341_2014_M	2018	1
W429_2018_M	W417_2017_F	W423_2017_M	2018	2
W430_2018_M	W283_2012_F	W506_XXXX_M	2018	2
W431_2018_F	W270_2011_F	W259_2011_M	2018	1
W432_2018_M	W390_2016_F	W391_2016_M	2018	2
W433_2018_F	W310_2013_F	W313_2013_M	2018	1
W434_2018_F	W422_2017_F	W407_2017_M	2018	1
W435_2018_M	W337_2014_F	W349_2014_M	2018	2
W436_2018_F	W274_2011_F	W269_2011_M	2018	1
W437_2018_M	W310_2013_F	W313_2013_M	2018	2
W438_2018_M	W292_2012_F	W290_2012_M	2018	2
W439_2018_F	W330_2014_F	W332_2014_M	2018	1
W440_2018_F	W360_2015_F	W361_2015_M	2018	1
W441_2018_M	W336_2014_F	W326_2014_M	2018	2
W442_2018_F	W347_2014_F	W342_2014_M	2018	1
W443_2018_F	W319_2013_F	W311_2013_M	2018	1
W444_2018_M	W258_2011_F	W263_2011_M	2018	2
W445_2018_F	W382_2016_F	W397_2016_M	2018	1
W446_2018_M	W362_2015_F	W359_2015_M	2018	2
W447_2018_F	W351_2015_F	W375_2015_M	2018	1
W448_2018_F	W392_2016_F	W400_2016_M	2018	1
W449_2018_F	W340_2014_F	W348_2014_M	2018	1
W450_2018_F	W369_2015_F	W364_2015_M	2018	1
W451_2019_M	W346_2014_F	W333_2014_M	2019	2
W452_2019_M	W331_2014_F	W507_XXXX_M	2019	2
W453_2019_F	W310_2013_F	W313_2013_M	2019	1
W454_2019_M	W433_2018_F	W437_2018_M	2019	2
W455_2019_F	W279_2012_F	W286_2012_M	2019	1
W456_2019_M	W328_2014_F	W508_XXXX_M	2019	2
W457_2019_F	W424_2017_F	W411_2017_M	2019	1
W458_2019_F	W392_2016_F	W400_2016_M	2019	1
W459_2019_M	W282_2012_F	W293_2012_M	2019	2
W460_2019_M	W351_2015_F	W375_2015_M	2019	2
W461_2019_M	W436_2018_F	W435_2018_M	2019	2
W462_2019_F	W277_2012_F	W288_2012_M	2019	1
W463_2019_F	W410_2017_F	W404_2017_M	2019	1
W464_2019_M	W396_2016_F	W389_2016_M	2019	2
W465_2019_M	W445_2018_F	W432_2018_M	2019	2
W466_2019_M	W329_2014_F	W343_2014_M	2019	2
W467_2019_M	W354_2015_F	W370_2015_M	2019	2
W468_2019_F	W443_2018_F	W444_2018_M	2019	1
W469_2019_F	W371_2015_F	W368_2015_M	2019	1
W470_2019_M	W352_2015_F	W366_2015_M	2019	2
W471_2019_M	W378_2016_F	W387_2016_M	2019	2
W472_2019_M	W447_2018_F	W441_2018_M	2019	2
W473_2019_F	W376_2016_F	W384_2016_M	2019	1
W474_2019_F	W360_2015_F	W361_2015_M	2019	1
W475_2019_M	W409_2017_F	W415_2017_M	2019	2
W476_2020_F	W360_2015_F	W361_2015_M	2020	1
W477_2020_F	W319_2013_F	W311_2013_M	2020	1
W478_2020_F	W301_2013_F	W509_XXXX_M	2020	1
W479_2020_M	W360_2015_F	W361_2015_M	2020	2
W480_2020_F	W455_2019_F	W459_2019_M	2020	1
W481_2020_F	W362_2015_F	W359_2015_M	2020	1
W482_2020_M	W379_2016_F	W388_2016_M	2020	2
W483_2020_F	W410_2017_F	W404_2017_M	2020	1
W484_2020_M	W410_2017_F	W404_2017_M	2020	2
W485_2020_F	W457_2019_F	W465_2019_M	2020	1
W486_2020_M	W401_2017_F	W420_2017_M	2020	2
W487_2020_M	W363_2015_F	W374_2015_M	2020	2
W488_2020_M	W443_2018_F	W444_2018_M	2020	2
W489_2020_F	W324_2013_F	W510_XXXX_M	2020	1
W490_2020_F	W412_2017_F	W403_2017_M	2020	1
W491_2020_F	W378_2016_F	W387_2016_M	2020	1
W492_2020_F	W449_2018_F	W446_2018_M	2020	1
W493_2020_M	W346_2014_F	W333_2014_M	2020	2
W494_2020_M	W354_2015_F	W370_2015_M	2020	2
W495_2020_F	W409_2017_F	W415_2017_M	2020	1
W496_2020_F	W396_2016_F	W389_2016_M	2020	1
W497_2020_F	W393_2016_F	W394_2016_M	2020	1
W498_2020_M	W356_2015_F	W372_2015_M	2020	2
W499_2020_M	W417_2017_F	W423_2017_M	2020	2
W500_2020_F	W406_2017_F	W405_2017_M	2020	1
